V-P-P-V=V
P-V-P-V=P
V-V-P-P=P
P-P-V-P=V
V-P-V-P=P
P-V-V-P=P
V-V-V-P=V
P-P-P-P=P
V-P-P-P=V
P-V-P-P=V
V-V-V-V=P
P-P-P-V=V
V-P-V-V=P
P-V-V-V=V
V-V-P-V=V
